CustomerID,Age,Gender,Marital_Status,Education,Employment_Type,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Income_Loan_Ratio,Loan_Status,Total_Income,Loan_Income_Ratio
1000,59,Male,Single,Not Graduate,Salaried,11082,3363,284.0,120,1.0,Semiurban,0.5086267605633803,1,14445,0.019660782277604708
1001,49,Female,Married,Graduate,Salaried,10822,3524,164.0,360,0.0,Semiurban,0.8747560975609756,1,14346,0.011431757981318834
1002,35,Male,Married,Graduate,Salaried,3986,3786,414.0,240,1.0,Semiurban,0.1877294685990338,0,7772,0.0532681420483788
1003,63,Male,Single,Not Graduate,Salaried,10526,23,139.0,300,1.0,Rural,0.7589208633093525,1,10549,0.01317660441748033
1004,28,Female,Married,Graduate,Salaried,9918,3003,257.0,240,0.0,Urban,0.5027626459143969,0,12921,0.019890101385341693
1005,41,Female,Married,Graduate,Salaried,13207,5982,213.0,180,0.0,Rural,0.9008920187793428,0,19189,0.011100109437698681
1006,59,Female,Married,Not Graduate,Salaried,14229,310,133.0,360,1.0,Rural,1.093157894736842,0,14539,0.0091478093403948
1007,39,Male,Married,Not Graduate,Salaried,3943,5580,126.0,360,1.0,Urban,0.7557936507936508,1,9523,0.013231124645594875
1008,43,Male,Single,Not Graduate,Salaried,10419,1231,210.0,360,1.0,Rural,0.5547619047619048,0,11650,0.018025751072961373
1009,31,Male,Single,Not Graduate,Self-Employed,13378,7959,54.0,360,0.0,Rural,3.951296296296296,1,21337,0.002530815016169096
1010,31,Male,Single,Not Graduate,Self-Employed,13314,3788,127.0,120,0.0,Semiurban,1.3466141732283463,0,17102,0.007426032043035902
1011,44,Male,Married,Graduate,Self-Employed,2536,2711,140.0,120,0.0,Rural,0.3747857142857143,0,5247,0.026681913474366305
1012,56,Female,Married,Not Graduate,Salaried,11524,6581,136.0,300,1.0,Semiurban,1.33125,0,18105,0.007511737089201878
1013,60,Female,Married,Not Graduate,Salaried,12432,7705,319.0,360,1.0,Rural,0.6312539184952978,1,20137,0.015841485822118487
1014,44,Male,Married,Not Graduate,Self-Employed,10184,4801,153.0,180,1.0,Semiurban,0.9794117647058824,1,14985,0.01021021021021021
1015,23,Male,Married,Graduate,Salaried,8935,5455,388.0,300,1.0,Semiurban,0.3708762886597938,1,14390,0.026963168867268936
1016,42,Male,Married,Not Graduate,Self-Employed,3048,421,224.0,360,1.0,Semiurban,0.1548660714285714,1,3469,0.06457192274430672
1017,22,Male,Married,Not Graduate,Salaried,10835,1773,103.0,120,1.0,Urban,1.2240776699029126,1,12608,0.008169416243654823
1018,44,Female,Single,Not Graduate,Self-Employed,6565,6464,437.0,180,1.0,Rural,0.2981464530892448,1,13029,0.03354056335866145
1019,64,Female,Single,Graduate,Self-Employed,7996,3568,260.0,300,1.0,Rural,0.4447692307692307,1,11564,0.022483569699066067
1020,50,Male,Married,Not Graduate,Self-Employed,7683,6730,144.0,180,1.0,Rural,1.0009027777777777,1,14413,0.009990980364948311
1021,58,Male,Married,Not Graduate,Salaried,5457,946,272.0,360,1.0,Urban,0.2354044117647059,1,6403,0.04248008745900359
1022,22,Male,Married,Not Graduate,Self-Employed,4907,1186,58.0,240,1.0,Semiurban,1.0505172413793102,0,6093,0.009519120301985885
