CustomerID,Age,Gender,Marital_Status,Education,Employment_Type,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Income_Loan_Ratio,Loan_Status
1000,59,Male,Single,Not Graduate,Salaried,11082,3363,284.0,120,1.0,Semiurban,0.5086267605633803,Y
1001,49,,Married,Graduate,Salaried,10822,3524,164.0,360,0.0,Semiurban,0.8747560975609756,Y
1002,35,Male,Married,Graduate,Salaried,3986,3786,414.0,240,1.0,Semiurban,0.1877294685990338,N
1003,63,Male,Single,Not Graduate,Salaried,10526,23,139.0,300,1.0,Rural,0.7589208633093525,Y
1004,28,Female,Married,Graduate,Salaried,9918,3003,257.0,240,0.0,Urban,0.5027626459143969,N
1005,41,Female,Married,Graduate,Salaried,13207,5982,213.0,180,0.0,Rural,0.9008920187793428,N
1006,59,Female,Married,Not Graduate,Salaried,14229,310,133.0,360,1.0,Rural,1.093157894736842,N
1007,39,Male,Married,Not Graduate,Salaried,3943,5580,126.0,360,1.0,Urban,0.7557936507936508,Y
1008,43,Male,Single,Not Graduate,Salaried,10419,1231,210.0,360,1.0,Rural,0.5547619047619048,N
1009,31,Male,Single,Not Graduate,Self-Employed,13378,7959,54.0,360,0.0,Rural,3.951296296296296,Y
1010,31,Male,Single,Not Graduate,Self-Employed,13314,3788,127.0,120,0.0,Semiurban,1.3466141732283465,N
1011,44,Male,Married,Graduate,Self-Employed,2536,2711,140.0,120,0.0,Rural,0.3747857142857143,N
1012,56,Female,Married,Not Graduate,Salaried,11524,6581,136.0,300,1.0,Semiurban,1.33125,N
1013,60,Female,Married,Not Graduate,Salaried,12432,7705,319.0,360,1.0,Rural,0.6312539184952978,Y
1014,44,Male,Married,Not Graduate,Self-Employed,10184,4801,153.0,180,1.0,Semiurban,0.9794117647058823,Y
1015,23,Male,Married,Graduate,Salaried,8935,5455,388.0,300,1.0,Semiurban,0.37087628865979383,Y
1016,42,Male,Married,Not Graduate,Self-Employed,3048,421,224.0,360,1.0,Semiurban,0.15486607142857142,Y
1017,22,Male,Married,Not Graduate,Salaried,10835,1773,103.0,120,1.0,Urban,1.2240776699029126,Y
1018,44,Female,Single,Not Graduate,Self-Employed,6565,6464,437.0,180,1.0,Rural,0.29814645308924487,Y
1019,64,,Single,Graduate,Self-Employed,7996,3568,260.0,300,,Rural,0.44476923076923075,Y
1020,50,Male,Married,Not Graduate,Self-Employed,7683,6730,144.0,180,1.0,Rural,1.0009027777777777,Y
